Data Table for Daily Case Trends - The United States
Date generated: Tue Nov 30 2021 20:43:23 GMT-0600 (北美中部标准时间)
State,Date,New Cases,7-Day Moving Avg,Historic Cases
United States,Jun 28 2021,10669,13189,0
United States,Jun 27 2021,10503,12901,0
United States,Jun 26 2021,13182,12677,0
United States,Jun 25 2021,15093,12565,0
United States,Jun 24 2021,15536,12127,0
United States,Jun 23 2021,13863,11804,0
United States,Jun 22 2021,13481,11712,0
United States,Jun 21 2021,8654,11620,0
United States,Jun 20 2021,8932,11567,0
United States,Jun 19 2021,12399,11518,0
United States,Jun 18 2021,12027,11528,0
United States,Jun 17 2021,13277,11812,0
United States,Jun 16 2021,13214,12210,0
United States,Jun 15 2021,12843,13051,0
United States,Jun 14 2021,8282,13299,0
United States,Jun 13 2021,8590,13539,0
United States,Jun 12 2021,12469,13880,0
United States,Jun 11 2021,14013,14212,0
United States,Jun 10 2021,16062,14867,1
United States,Jun  9 2021,19099,15238,464
United States,Jun  8 2021,14581,14830,0
United States,Jun  7 2021,9961,14021,0
United States,Jun  6 2021,10980,13882,0
United States,Jun  5 2021,14789,14028,0
United States,Jun  4 2021,18601,14223,0
United States,Jun  3 2021,18658,15050,0
United States,Jun  2 2021,16243,15607,0
United States,Jun  1 2021,8919,16676,0
United States,May 31 2021,8985,18801,1
United States,May 30 2021,12002,19819,0
United States,May 29 2021,16157,20350,0
United States,May 28 2021,24389,21216,0
United States,May 27 2021,22557,21769,0
United States,May 26 2021,23727,22540,0
United States,May 25 2021,23795,23134,0
United States,May 24 2021,16108,23742,0
United States,May 23 2021,15720,24227,0
United States,May 22 2021,22217,24976,0
United States,May 21 2021,28259,26052,0
United States,May 20 2021,27958,27077,0
United States,May 19 2021,27886,28945,0
United States,May 18 2021,28051,30091,0
United States,May 17 2021,19500,30883,0
United States,May 16 2021,20962,31632,0
United States,May 15 2021,29750,32523,42
United States,May 14 2021,35438,33538,0
United States,May 13 2021,41032,34847,0
United States,May 12 2021,35907,35187,0
United States,May 11 2021,33597,36525,0
United States,May 10 2021,24740,37888,0
United States,May  9 2021,27199,39101,0
United States,May  8 2021,36854,40458,0
United States,May  7 2021,44605,42048,0
United States,May  6 2021,43407,43577,0
United States,May  5 2021,45278,45479,0
United States,May  4 2021,43138,46910,0
United States,May  3 2021,33232,48024,0
United States,May  2 2021,36693,48972,0
United States,May  1 2021,47987,49547,0
United States,Apr 30 2021,55307,50110,0
United States,Apr 29 2021,56723,51440,0
United States,Apr 28 2021,55292,52150,0
United States,Apr 27 2021,50935,53420,0
United States,Apr 26 2021,39872,54558,-9005
United States,Apr 25 2021,40719,53999,0
United States,Apr 24 2021,51927,55213,0
United States,Apr 23 2021,64618,58940,0
United States,Apr 22 2021,61692,59835,0
United States,Apr 21 2021,64180,61736,0
United States,Apr 20 2021,58898,62904,0
United States,Apr 19 2021,35963,64800,0
United States,Apr 18 2021,49216,68611,0
United States,Apr 17 2021,78013,69222,0
United States,Apr 16 2021,70889,67800,0
United States,Apr 15 2021,74993,68940,0
United States,Apr 14 2021,72358,69041,0
United States,Apr 13 2021,72169,69834,0
United States,Apr 12 2021,62639,68563,0
United States,Apr 11 2021,53496,67745,0
United States,Apr 10 2021,68058,66431,0
United States,Apr  9 2021,78869,66064,72
United States,Apr  8 2021,75698,64731,0
United States,Apr  7 2021,77914,64552,0
United States,Apr  6 2021,63269,63631,0
United States,Apr  5 2021,56916,63501,0
United States,Apr  4 2021,44296,63629,0
United States,Apr  3 2021,65489,64857,0
United States,Apr  2 2021,69536,64553,0
United States,Apr  1 2021,74450,65574,0
United States,Mar 31 2021,71465,64422,0
United States,Mar 30 2021,62358,63806,0
United States,Mar 29 2021,57815,63254,0
United States,Mar 28 2021,52892,61931,0
United States,Mar 27 2021,63355,60798,0
United States,Mar 26 2021,76687,60086,0
United States,Mar 25 2021,66384,58029,0
United States,Mar 24 2021,67154,57527,0
United States,Mar 23 2021,58491,56848,0
United States,Mar 22 2021,48560,55932,0
United States,Mar 21 2021,44959,55204,0
United States,Mar 20 2021,58371,55537,0
United States,Mar 19 2021,62287,54826,0
United States,Mar 18 2021,62870,54910,0
United States,Mar 17 2021,62401,54577,0
United States,Mar 16 2021,52082,54553,0
United States,Mar 15 2021,43464,54756,0
United States,Mar 14 2021,47286,54688,0
United States,Mar 13 2021,53395,54150,0
United States,Mar 12 2021,62873,54711,0
United States,Mar 11 2021,60543,54906,0
United States,Mar 10 2021,62233,55651,0
United States,Mar  9 2021,53498,56157,891
United States,Mar  8 2021,42990,56405,0
United States,Mar  7 2021,43523,57546,0
United States,Mar  6 2021,57318,58704,0
United States,Mar  5 2021,64237,60217,0
United States,Mar  4 2021,65762,61559,0
United States,Mar  3 2021,65774,62452,0
United States,Mar  2 2021,55236,63483,0
United States,Mar  1 2021,50972,65739,0
United States,Feb 28 2021,51630,66492,0
United States,Feb 27 2021,67914,67085,0
United States,Feb 26 2021,73629,66815,0
United States,Feb 25 2021,72013,66756,0
United States,Feb 24 2021,72992,66292,0
United States,Feb 23 2021,71026,65089,0
United States,Feb 22 2021,56246,63206,0
United States,Feb 21 2021,55775,63414,0
United States,Feb 20 2021,66030,64971,0
United States,Feb 19 2021,73216,67602,0
United States,Feb 18 2021,68759,71132,0
United States,Feb 17 2021,64576,75486,0
United States,Feb 16 2021,57846,80471,0
United States,Feb 15 2021,57702,85346,0
United States,Feb 14 2021,66668,88854,0
United States,Feb 13 2021,84448,92399,0
United States,Feb 12 2021,97927,95778,0
United States,Feb 11 2021,99236,99722,0
United States,Feb 10 2021,99473,103425,0
United States,Feb  9 2021,91971,104968,0
United States,Feb  8 2021,82257,109339,0
United States,Feb  7 2021,91486,115940,0
United States,Feb  6 2021,108098,118796,0
United States,Feb  5 2021,125535,122979,0
United States,Feb  4 2021,125157,128499,0
United States,Feb  3 2021,110275,133026,0
United States,Feb  2 2021,122570,140134,0
United States,Feb  1 2021,128463,143753,0
United States,Jan 31 2021,111476,144525,0
United States,Jan 30 2021,137378,149107,0
United States,Jan 29 2021,164179,152994,0
United States,Jan 28 2021,156846,156754,0
United States,Jan 27 2021,160027,161443,0
United States,Jan 26 2021,147908,165620,0
United States,Jan 25 2021,133863,166052,0
United States,Jan 24 2021,143553,168529,0
United States,Jan 23 2021,164588,174103,0
United States,Jan 22 2021,190496,180994,0
United States,Jan 21 2021,189666,188063,0
United States,Jan 20 2021,189267,193009,0
United States,Jan 19 2021,150937,198748,584
United States,Jan 18 2021,151202,208427,0
United States,Jan 17 2021,182569,216039,0
United States,Jan 16 2021,212824,221890,0
United States,Jan 15 2021,239979,227941,0
United States,Jan 14 2021,224285,235662,0
United States,Jan 13 2021,229441,242347,0
United States,Jan 12 2021,218691,246680,0
United States,Jan 11 2021,204487,250448,0
United States,Jan 10 2021,223525,246215,0
United States,Jan  9 2021,255184,243629,0
United States,Jan  8 2021,294021,239215,0
United States,Jan  7 2021,271080,229980,0
United States,Jan  6 2021,259777,224266,0
United States,Jan  5 2021,245064,221280,0
United States,Jan  4 2021,174859,216307,0
United States,Jan  3 2021,205420,216898,0
United States,Jan  2 2021,224286,209692,0
United States,Jan  1 2021,229377,198964,0
United States,Dec 31 2020,231079,188950,0
United States,Dec 30 2020,238879,184847,0
United States,Dec 29 2020,210252,183362,0
United States,Dec 28 2020,178995,181852,0
United States,Dec 27 2020,154978,182566,0
United States,Dec 26 2020,149192,187289,0
United States,Dec 25 2020,159278,194804,0
United States,Dec 24 2020,202361,205975,0
United States,Dec 23 2020,228480,212500,0
United States,Dec 22 2020,199681,214423,0
United States,Dec 21 2020,183993,214598,0
United States,Dec 20 2020,188044,216543,0
United States,Dec 19 2020,201793,215500,0
United States,Dec 18 2020,237473,217547,0
United States,Dec 17 2020,248038,219160,0
United States,Dec 16 2020,241944,213566,0
United States,Dec 15 2020,200902,210796,0
United States,Dec 14 2020,197609,214463,0
United States,Dec 13 2020,180746,212883,0
United States,Dec 12 2020,216121,212395,0
United States,Dec 11 2020,248765,210920,0
United States,Dec 10 2020,208878,207593,0
United States,Dec  9 2020,222551,209029,0
United States,Dec  8 2020,226575,207437,0
United States,Dec  7 2020,186549,202577,0
United States,Dec  6 2020,177330,197910,0
United States,Dec  5 2020,205792,192767,0
United States,Dec  4 2020,225480,184042,0
United States,Dec  3 2020,218926,175315,0
United States,Dec  2 2020,211410,164760,0
United States,Dec  1 2020,192554,162492,0
United States,Nov 30 2020,153881,160117,0
United States,Nov 29 2020,141332,161095,0
United States,Nov 28 2020,144717,162465,0
United States,Nov 27 2020,164390,166573,0
United States,Nov 26 2020,145037,170967,0
United States,Nov 25 2020,195536,177432,0
United States,Nov 24 2020,175930,174188,0
United States,Nov 23 2020,160727,173054,0
United States,Nov 22 2020,150924,171876,0
United States,Nov 21 2020,173471,170323,0
United States,Nov 20 2020,195144,168939,0
United States,Nov 19 2020,190293,166566,0
United States,Nov 18 2020,172828,162798,0
United States,Nov 17 2020,167993,160124,0
United States,Nov 16 2020,152483,157281,0
United States,Nov 15 2020,140053,153367,0
United States,Nov 14 2020,163785,149368,0
United States,Nov 13 2020,178531,144433,0
United States,Nov 12 2020,163915,138150,0
United States,Nov 11 2020,154108,132417,0
United States,Nov 10 2020,148096,126970,0
United States,Nov  9 2020,125083,119972,0
United States,Nov  8 2020,112060,114565,0
United States,Nov  7 2020,129238,109174,0
United States,Nov  6 2020,134554,104037,0
United States,Nov  5 2020,123783,98822,0
United States,Nov  4 2020,115979,94239,0
United States,Nov  3 2020,99112,89875,0
United States,Nov  2 2020,87234,86549,0
United States,Nov  1 2020,74324,84112,67475
United States,Oct 31 2020,93273,82913,0
United States,Oct 30 2020,98053,80501,0
United States,Oct 29 2020,91703,78376,0
United States,Oct 28 2020,85429,75994,0
United States,Oct 27 2020,75831,73871,0
United States,Oct 26 2020,70171,71463,0
United States,Oct 25 2020,65933,70322,0
United States,Oct 24 2020,76393,67902,0
United States,Oct 23 2020,83174,64750,0
United States,Oct 22 2020,75033,62806,0
United States,Oct 21 2020,70563,61143,0
United States,Oct 20 2020,58979,59378,0
United States,Oct 19 2020,62185,58212,0
United States,Oct 18 2020,48992,56439,0
United States,Oct 17 2020,54325,55861,0
United States,Oct 16 2020,69570,55802,0
United States,Oct 15 2020,63389,54305,0
United States,Oct 14 2020,58212,53202,0
United States,Oct 13 2020,50815,52715,0
United States,Oct 12 2020,49773,51452,0
United States,Oct 11 2020,44944,50287,0
United States,Oct 10 2020,53914,48959,0
United States,Oct  9 2020,59093,48077,0
United States,Oct  8 2020,55664,46945,0
United States,Oct  7 2020,54803,45776,0
United States,Oct  6 2020,41975,44601,0
United States,Oct  5 2020,41616,44167,0
United States,Oct  4 2020,35652,43818,0
United States,Oct  3 2020,47739,43777,0
United States,Oct  2 2020,51169,43066,0
United States,Oct  1 2020,47483,42930,0
United States,Sep 30 2020,46576,42776,0
United States,Sep 29 2020,38934,42258,0
United States,Sep 28 2020,39178,43855,0
United States,Sep 27 2020,35364,44206,0
United States,Sep 26 2020,42759,44051,0
United States,Sep 25 2020,50219,43997,0
United States,Sep 24 2020,46408,43706,0
United States,Sep 23 2020,42950,43561,0
United States,Sep 22 2020,50110,43843,0
United States,Sep 21 2020,41635,42003,0
United States,Sep 20 2020,34276,41020,0
United States,Sep 19 2020,42384,40823,0
United States,Sep 18 2020,48179,40488,0
United States,Sep 17 2020,45398,39977,0
United States,Sep 16 2020,44922,39077,0
United States,Sep 15 2020,37229,37740,0
United States,Sep 14 2020,34757,36510,0
United States,Sep 13 2020,32898,35058,0
United States,Sep 12 2020,40037,35213,0
United States,Sep 11 2020,44600,35394,0
United States,Sep 10 2020,39098,36350,0
United States,Sep  9 2020,35566,37276,0
United States,Sep  8 2020,28618,38308,0
United States,Sep  7 2020,24589,39768,0
United States,Sep  6 2020,33988,41908,0
United States,Sep  5 2020,41303,42286,0
United States,Sep  4 2020,51292,42245,0
United States,Sep  3 2020,45576,41623,0
United States,Sep  2 2020,42792,41859,1705
United States,Sep  1 2020,38841,42531,0
United States,Aug 31 2020,39567,42829,0
United States,Aug 30 2020,36631,42323,0
United States,Aug 29 2020,41020,42387,0
United States,Aug 28 2020,46937,42504,0
United States,Aug 27 2020,47226,42615,0
United States,Aug 26 2020,47496,42591,0
United States,Aug 25 2020,40926,42562,0
United States,Aug 24 2020,36026,42675,0
United States,Aug 23 2020,37081,43502,0
United States,Aug 22 2020,41842,44193,0
United States,Aug 21 2020,47713,45581,0
United States,Aug 20 2020,47058,46799,0
United States,Aug 19 2020,47290,47527,0
United States,Aug 18 2020,41715,48707,0
United States,Aug 17 2020,41818,51203,0
United States,Aug 16 2020,41920,51536,0
United States,Aug 15 2020,51556,52170,0
United States,Aug 14 2020,56242,52245,0
United States,Aug 13 2020,52153,53088,0
United States,Aug 12 2020,55545,53518,0
United States,Aug 11 2020,59189,53619,0
United States,Aug 10 2020,44149,52580,0
United States,Aug  9 2020,46359,52745,0
United States,Aug  8 2020,52083,53474,0
United States,Aug  7 2020,62142,54093,0
United States,Aug  6 2020,55160,55047,0
United States,Aug  5 2020,56251,56759,0
United States,Aug  4 2020,51918,58028,0
United States,Aug  3 2020,45304,59067,0
United States,Aug  2 2020,51460,60204,0
United States,Aug  1 2020,56417,61282,0
United States,Jul 31 2020,68823,61949,0
United States,Jul 30 2020,67146,62676,0
United States,Jul 29 2020,65130,63664,0
United States,Jul 28 2020,59193,64740,0
United States,Jul 27 2020,53265,65331,0
United States,Jul 26 2020,59006,66152,0
United States,Jul 25 2020,61083,66283,0
United States,Jul 24 2020,73914,67242,0
United States,Jul 23 2020,74060,67695,0
United States,Jul 22 2020,72662,67141,0
United States,Jul 21 2020,63328,67091,0
United States,Jul 20 2020,59017,67330,0
United States,Jul 19 2020,59921,66977,0
United States,Jul 18 2020,67797,66937,0
United States,Jul 17 2020,77085,66985,0
United States,Jul 16 2020,70183,65769,0
United States,Jul 15 2020,72309,64645,0
United States,Jul 14 2020,65004,63655,0
United States,Jul 13 2020,56542,62377,0
United States,Jul 12 2020,59644,61616,0
United States,Jul 11 2020,68134,58870,0
United States,Jul 10 2020,68569,56221,0
United States,Jul  9 2020,62316,55039,0
United States,Jul  8 2020,65378,54081,0
United States,Jul  7 2020,56061,53275,0
United States,Jul  6 2020,51214,51922,0
United States,Jul  5 2020,40419,50120,0
United States,Jul  4 2020,49595,49746,0
United States,Jul  3 2020,60292,48892,0
United States,Jul  2 2020,55608,46929,0
United States,Jul  1 2020,59741,45701,0
United States,Jun 30 2020,46588,42514,0
United States,Jun 29 2020,38602,41276,0
United States,Jun 28 2020,37797,39861,0
United States,Jun 27 2020,43618,38365,0
United States,Jun 26 2020,46553,36897,0
United States,Jun 25 2020,47010,35005,0
United States,Jun 24 2020,37431,32397,0
United States,Jun 23 2020,37921,30708,0
United States,Jun 22 2020,28698,28851,0
United States,Jun 21 2020,27327,27693,0
United States,Jun 20 2020,33339,26735,0
United States,Jun 19 2020,33309,25687,0
United States,Jun 18 2020,28760,25035,0
United States,Jun 17 2020,25603,24168,0
United States,Jun 16 2020,24926,23722,0
United States,Jun 15 2020,20588,22818,0
United States,Jun 14 2020,20620,22454,0
United States,Jun 13 2020,26007,22048,0
United States,Jun 12 2020,28747,21700,0
United States,Jun 11 2020,22688,21083,0
United States,Jun 10 2020,22483,20800,0
United States,Jun  9 2020,18595,20604,0
United States,Jun  8 2020,18038,20909,0
United States,Jun  7 2020,17781,20812,0
United States,Jun  6 2020,23573,21301,0
United States,Jun  5 2020,24424,21321,0
United States,Jun  4 2020,20712,21197,0
United States,Jun  3 2020,21109,21695,0
United States,Jun  2 2020,20731,21589,0
United States,Jun  1 2020,17358,21049,0
United States,May 31 2020,21206,21305,0
United States,May 30 2020,23710,21385,0
United States,May 29 2020,23554,20995,0
United States,May 28 2020,24198,21348,0
United States,May 27 2020,20368,21538,0
United States,May 26 2020,16953,22126,0
United States,May 25 2020,19149,22660,0
United States,May 24 2020,21765,23452,0
United States,May 23 2020,20979,23089,0
United States,May 22 2020,26029,23707,0
United States,May 21 2020,25523,23863,0
United States,May 20 2020,24490,25150,0
United States,May 19 2020,20691,24185,0
United States,May 18 2020,24690,24695,0
United States,May 17 2020,19225,23925,0
United States,May 16 2020,25303,24272,0
United States,May 15 2020,27119,24367,0
United States,May 14 2020,34533,24499,0
United States,May 13 2020,17740,23939,0
United States,May 12 2020,24260,24877,0
United States,May 11 2020,19299,24726,0
United States,May 10 2020,21651,24995,0
United States,May  9 2020,25967,25879,0
United States,May  8 2020,28045,26226,0
United States,May  7 2020,30615,26537,0
United States,May  6 2020,24303,26796,0
United States,May  5 2020,23206,27211,0
United States,May  4 2020,21179,27251,0
United States,May  3 2020,27841,27685,0
United States,May  2 2020,28396,27598,0
United States,May  1 2020,30225,28309,0
United States,Apr 30 2020,32425,28867,0
United States,Apr 29 2020,27205,28949,0
United States,Apr 28 2020,23487,29553,0
United States,Apr 27 2020,24218,29834,0
United States,Apr 26 2020,27234,30062,0
United States,Apr 25 2020,33375,30155,0
United States,Apr 24 2020,34130,29330,0
United States,Apr 23 2020,32997,28708,0
United States,Apr 22 2020,31434,28540,0
United States,Apr 21 2020,25455,27675,0
United States,Apr 20 2020,25811,27637,0
United States,Apr 19 2020,27884,27511,0
United States,Apr 18 2020,27600,27499,0
United States,Apr 17 2020,29778,28157,0
United States,Apr 16 2020,31821,28463,0
United States,Apr 15 2020,25379,28915,0
United States,Apr 14 2020,25186,30101,0
United States,Apr 13 2020,24932,30821,0
United States,Apr 12 2020,27798,31343,0
United States,Apr 11 2020,32207,31297,0
United States,Apr 10 2020,31920,31338,0
United States,Apr  9 2020,34988,31326,0
United States,Apr  8 2020,33682,30620,0
United States,Apr  7 2020,30225,29858,0
United States,Apr  6 2020,28584,28868,0
United States,Apr  5 2020,27478,27046,0
United States,Apr  4 2020,32492,26883,0
United States,Apr  3 2020,31838,25189,0
United States,Apr  2 2020,30045,23504,0
United States,Apr  1 2020,28348,21893,0
United States,Mar 31 2020,23296,19866,0
United States,Mar 30 2020,15831,18160,0
United States,Mar 29 2020,26334,17431,0
United States,Mar 28 2020,20635,15221,0
United States,Mar 27 2020,20039,13590,0
United States,Mar 26 2020,18772,11790,0
United States,Mar 25 2020,14160,9990,0
United States,Mar 24 2020,11351,8668,0
United States,Mar 23 2020,10728,7507,0
United States,Mar 22 2020,10868,6310,0
United States,Mar 21 2020,9218,5072,0
United States,Mar 20 2020,7437,3931,0
United States,Mar 19 2020,6174,2998,0
United States,Mar 18 2020,4903,2223,0
United States,Mar 17 2020,3222,1596,0
United States,Mar 16 2020,2349,1206,0
United States,Mar 15 2020,2202,931,0
United States,Mar 14 2020,1231,646,0
United States,Mar 13 2020,911,493,0
United States,Mar 12 2020,748,380,0
United States,Mar 11 2020,514,285,0
United States,Mar 10 2020,493,221,0
United States,Mar  9 2020,420,159,0
United States,Mar  8 2020,209,105,0
United States,Mar  7 2020,160,77,0
United States,Mar  6 2020,121,56,0
United States,Mar  5 2020,78,39,0
United States,Mar  4 2020,67,29,0
United States,Mar  3 2020,64,20,0
United States,Mar  2 2020,36,12,0
United States,Mar  1 2020,18,7,0
United States,Feb 29 2020,9,4,0
United States,Feb 28 2020,4,4,0
United States,Feb 27 2020,5,4,0
United States,Feb 26 2020,8,4,0
United States,Feb 25 2020,4,3,0
United States,Feb 24 2020,4,3,0
United States,Feb 23 2020,0,3,0
United States,Feb 22 2020,6,3,0
United States,Feb 21 2020,5,2,0
United States,Feb 20 2020,1,1,0
United States,Feb 19 2020,3,1,0
United States,Feb 18 2020,5,1,0
United States,Feb 17 2020,2,0,0
United States,Feb 16 2020,0,0,0
United States,Feb 15 2020,0,0,0
United States,Feb 14 2020,0,0,0
United States,Feb 13 2020,1,0,0
United States,Feb 12 2020,1,0,0
United States,Feb 11 2020,0,0,0
United States,Feb 10 2020,0,0,0
United States,Feb  9 2020,0,0,0
United States,Feb  8 2020,0,1,0
United States,Feb  7 2020,1,1,0
United States,Feb  6 2020,0,1,0
United States,Feb  5 2020,0,1,0
United States,Feb  4 2020,0,1,0
United States,Feb  3 2020,3,1,0
United States,Feb  2 2020,3,0,0
United States,Feb  1 2020,1,0,0
United States,Jan 31 2020,1,0,0
United States,Jan 30 2020,0,0,0
United States,Jan 29 2020,0,0,0
United States,Jan 28 2020,0,0,0
United States,Jan 27 2020,0,0,0
United States,Jan 26 2020,1,0,0
United States,Jan 25 2020,0,0,0
United States,Jan 24 2020,1,0,0
United States,Jan 23 2020,1,0,0
